BulSA,BulSO,CzeSA,CzeSO,SloSA,SloSO,CatSA,CatSO,ItaSA,ItaSO,RomSA,RomSO
0.9692244,0.15251924,0.9675645,0.09495467,0.95970947,0.13818298,0.9640281,0.18176489,0.94835275,0.15639648,0.95048755,0.18556266
0.96439976,0.12615155,0.97689086,0.12590696,0.95833176,0.11338508,0.97699654,0.12710452,0.96433187,0.12483739,0.9758757,0.10747367
0.9769619,0.09873381,0.9773921,0.11240885,0.97035223,0.107538365,0.9679057,0.13282926,0.9700149,0.093459405,0.970078,0.14715256
0.9681784,0.13196746,0.96816206,0.08994721,0.9719806,0.10135869,0.9774673,0.18631637,0.97394115,0.10606287,0.9782931,0.09442778
0.9619932,0.07211776,0.9755138,0.10663494,0.96208185,0.10153872,0.9727027,0.12352708,0.9764043,0.056951497,0.97597474,0.099978864
0.9606397,0.09948206,0.97162795,0.075615235,0.95789963,0.08063588,0.9668043,0.11150648,0.9715131,0.10792507,0.96992517,0.112948194
0.96268535,0.063881315,0.95781076,0.0681748,0.9560844,0.06835651,0.95189124,0.10326422,0.9596124,0.09814087,0.9478142,0.073644675
0.9502857,0.081383504,0.93634796,0.09127338,0.9337822,0.10623844,0.9418845,0.11366759,0.93869156,0.09732359,0.93535256,0.11324183
0.94972223,0.109174214,0.950854,0.109579414,0.93558615,0.102369286,0.96581215,0.10769902,0.9478033,0.09678762,0.9367851,0.107639186
0.9334886,0.097542286,0.9271484,0.120944746,0.9332317,0.10398123,0.9406256,0.099120766,0.9264535,0.10102133,0.93560314,0.09508363
0.92671156,0.12829089,0.9185508,0.122544594,0.9109599,0.10787236,0.9098122,0.120851114,0.92294633,0.12773408,0.90261114,0.11100553
0.93349385,0.10009843,0.903207,0.15900066,0.91003406,0.111492105,0.8684131,0.109124,0.87380993,0.08241829,0.9236117,0.08836653
0.9183782,0.09927779,0.9125189,0.16460791,0.90471643,0.108500674,0.90207577,0.1491027,0.9034012,0.14407809,0.9044483,0.15264134
